book_id,book_title,review_id,reviewer,review_content,rating,created_at
315794492,마인크래프트로 배우는 지구 대백과,14585406,애니,"아이들이 좋아하는 게임 중 상위권 당연히 마인크래프트가빠지진 않겠죠마인크래프트로 지구과학에 대해 배워 볼까요????!!!!!!!!아이가 처음 책을 보고 와~~연신 감탄사 ㅋ좋아하는 게임이 책으로 나오다니 하며 관심 있게 봤답니다지구의 구조, 돌과 광석, 꽃과 풀, 채소와 과일, 나무와 목재, 땅에사는 동물, 물에사는 동물, 또 편리한 도구까지 우리가 살아가는데 필요한 모든 것들이 마인크래프트 게임 속에 있으리라곤 상상 못한듯 모든것은 다 가상인줄 알았나봐요하지만 마인크래프트는 모든게 다 현실속에 존재했단 사실에깜짝 놀랬어요 ㅎ마인크...+ 더보기",5,2023-05-15
260336,안나와 떠나는 미술관 여행,487086,미누리,"안나는 삼촌과 함께 미술관 입구에 서 있다. 미술관은 시커먼 입을 쩍 벌리고 버티고 서 있고 안나는 미술관에 들어가기 전 삼촌으로부터 주의사항을 듣는다. 아무거나 함부로 만지지 말고 질문도 하지 말고 떼 쓰지도 말고 칭얼 대지도 말 것.
미술관에서 삼촌은 엄숙한 얼굴로 사람들에게 어려운 용어를 동원하며 설명에 들어가고 안나는 화장실을 찾아 저 혼자 미술관을 배회하기 시작한다.  그러던 중에 미술관 바닥에 놓인 빨간드레스를 발견하고 그 옷을 입는다. 그 옷은 안나를 그림 속으로 들어가게 하고 안나는 그림속에서 화가들을 만난...+ 더보기",4,2004-06-27
260336,안나와 떠나는 미술관 여행,597452,대전복수동정지윤,"미술가들에 대해 작품의 특징에 대해 잘 아는 아이들은 이 책을 무리없이 읽을 수 있겠지만 그렇지 않은 아이들이 읽을 때는 분명 재미없다는 생각을 할 책이다. 이 책에 등장하는 삼촌도 미술관에서 작품을 설명해주고 화가의 일화를 설명해 주는 것처럼 이 책을 읽는 아이들에게 설명을 해 주고 이 책에 나와 있는 작품들의 사진이라도 보여줄 수 있는 길잡이 있다면 100배, 200배의 효과를 얻을 수 있는 책이라는 생각이 든다. 화장실에 가고 싶으면 정신 하나도 없다. 어른이나 아이나 마찬가지다. 볼 일이 급한 아이가 급한 마음에 이야기가 진...+ 더보기",4,2004-12-29
260336,안나와 떠나는 미술관 여행,1022406,최상철,"오봉초 4학년 
최 상철 

처음 책 표지를 보았을때, 그 사람이 안나가 아니라 마녀쯤 되는 사람인 줄 알았다. 그러나 실제로 그 사람은 안나였다. 책표지만으로 이런 오해를 불러 일으킬 수 있구나, 하고 책을 읽기 시작했다. 
이 책에서는 렘브란트, 뭉크, 몬드리안, 고흐, 피카소, 르네, 마그리트, 샤갈, 달리, 세잔 등을 만날 수 있다.   
안나는 삼촌과 함께 박물관으로 오게 된다. 삼촌은 박물관 큐레이터. 외삼촌이 열심히 그림에 대하여 설명을 하고 있을 때 안나는 매우 심...+ 더보기",5,2006-12-20
260336,안나와 떠나는 미술관 여행,1872050,하늘바람,"오랫만에 그림관련 된 책을 찾아보다가 이 책을 발견하였다.
미술책인데 실제 명화가 등장하지 않는다. 다만 그 명화를 모사해서 그린 일러스트가 등장하는데 거의 명화같은 느낌이어서 아주 재미있게 명화를 감상할 수 있었다.
안나의 미술관 여행일는 스토리인데 
화장실을 가려다가 뒤샹의 변기를 찾아다니며 이그림 저그림을 만나는 설정은 재미있기도 하다가 좀 억지스럽다는 느낌도 받았다.
하지만 그런 억지스러운 느낌을 새로운 기법 혹은 새로운 그림 아니면 그 그림의 작가들을 만나게 되면서 자연스럽게 여행을 따라다니는 즐거움을 얻을...+ 더보기",4,2008-01-29
260336,안나와 떠나는 미술관 여행,1711009,angella125,"첨엔 시큰둥하게 반응하던 아들녀석~
한페이지를 같이 읽으면서 수수께끼식으로 그림과 설명을 가지고 어떤 화가인지를 맞추는 식으로
이 책을 읽어나갔다. 
근데 웬걸~~
자기가 아는 피카소, 르네 마그리트, 반 고흐 등등이 나오면서 점점 그 다음 이야기가
궁금해지고 다음 페이지엔 어떤 화가가 나올까 너무 재밌어한다.
엔디 워홀이나 폴록 같은 화가들은 조금 낯설긴 한데 특히 폴록은 이 책을 통해서
아들한테 아주 강한 이미지를 남긴것 같다.
뒤의 설명도 도움이 많이 된다. 이 설명이 없었음 몇몇의 화가는 등장했는지도 모른채 끝...+ 더보기",4,2007-11-20
297280718,책 읽는 고양이 서꽁치,13820487,sonagahan,서점과 도서관에 있는 고양이라...생각만 해도 매력적인 존재이네요.처음에 읽으며 시같은 느낌이 강한 문체가 인상적이었네요. 즐겁게 읽었습니다.,3,2022-08-03
297280718,책 읽는 고양이 서꽁치,13944940,키치,"책과 고양이를 좋아한다면 사랑에 빠지지 않을 수 없는 소설이다. 소설의 배경은 검은 고양이 섬이라는 뜻의 흑묘도. 다섯 남매 고양이 중 맏이로 태어난 꽁치는 어느 날 엄마로부터 엄청난 이야기를 듣게 된다. 엄마의 집안은 대대로 한 세대에 한 마리씩 글을 읽을 줄 아는 고양이가 나오는데, 엄마 대에서는 글을 읽을 줄 아는 고양이가 엄마였고, 엄마의 자식 대에서는 꽁치가 바로 그 고양이라는 것이다. 자신이 글을 읽을 수 있다는 사실을 깨달은 꽁치는 그 날 이후로 글 읽는 재미에 푹 빠진다. 처음에는 눈에 보이는 간판이나 포스터...+ 더보기",5,2022-09-20
297280718,책 읽는 고양이 서꽁치,13728412,poiesis,"책 읽는 고양이 꽁치는 성도 있다. 그것도 무려 글 서(書)! 유서 깊은 가문 출신이며, 이 가문에 속한다 해도 한 세대에 한 마리만 글을 읽을 수 있는 유전자를 가지고 태어난다. 단 꽁치의 성씨인 <書>가 적힌 집안의 가보를 봐야 읽는 능력이 발현된다. 한 세대에 혼자라면 이 특별한 능력이 반가울까. 어떤 삶을 살게 될까. “책 읽는 능력이 꼭 좋은 건 아냐. 꽁치는 행운아지만 동시에 불운한 고양이일 수도 있어.” 나라면 무조건 좋...+ 더보기",5,2022-07-01
297280718,책 읽는 고양이 서꽁치,13743192,풍전등화,"이경혜 작가의 동화 <책 읽는 고양이> 가제본을 흥미롭게 읽었다. 세상에 책 읽는 고양이라니, 서당개도 아니고 도대체 무슨 내용이지하는 호기심이 생겼다. 요즘은 반여경과 반려묘가 일상이 되었으니 동화속에 등장하는 책방에서 태어나 50년을 살고 있는 서복동 쥐 정도면 그림책은 충분히 바라볼 수 있을 것도 같다. 우리집에 사는 잉꼬와 앵무새도 아침에 일어나서 밤에 잠들기 전까지 종일 클래식 음악방송을 듣고 있다. 기분이 좋을 때면 아내의 동요에 맞추어서 춤을 추는 것처럼 온 몸을 들썩이기도 한다. * 책읽는 고양이 서꽁치33...+ 더보기",5,2022-07-06
297280718,책 읽는 고양이 서꽁치,14392138,기진맥진,"고양이 이야기는 뭐, 이제 너무 흔해서 동화 중에 하나 건너 하나는 고양이가 나오는 것 같고, ‘책 읽는 ○○’도 꽤 많으니 흔한 요소 두 개가 결합된 책이라 하겠다. 하지만 식상하지 않다는 점이 이 책의 매력! 캐릭터가 너무 생생하고 서사도 아주 새롭다. 이런 점이 이야기의 고마움이 아닐까. 써도 또 써도 샘솟는 이야기. 덕분에 작가님들은 “또 그 이야기? 많으니까 안 써야지.” 이런 생각을 안 하셔도 될 것 같다.^^     하지만 그렇다고 해서 이야기가 쉽게 나오는 것은 아니다. 작가의 말에 보니 이 책은 오래된 된장...+ 더보기",5,2023-03-01
297280718,책 읽는 고양이 서꽁치,13742593,seran000101,"<책을 읽는다는 의미>책이 ‘책을 읽는다는 것’의 의미를 생각해 보게끔 한다는 점에서 특히 좋았다.  ‘그래서 꽁치는 탈출했어?’ 혹은 ‘나쁜 인간이야!’ 라는 감상뿐만 아니라 글을 읽는 행위의 의미를 곱씹어 보게 한다. 꽁치는 ‘장화 신은 고양이’에 빠지고, 쥐 할아버지는 평생을 ‘쥐둔갑 타령’ 내용을 궁금해했다. 마침내 꽁치가 읽어주자 책 결말이 어떠하든 죽어도 여한이 없다는 말을 남긴다. 고양이든 쥐든, 그리고 인간이든 자신을 궁금해한다. 자신과 관련된 듯한 이야기라면 호기심을 가진다. 즉, 글을 읽으며 우리는 스스...+ 더보기",5,2022-07-06
297280718,책 읽는 고양이 서꽁치,13730828,inging,"주인공 고양이의 이름은 꽁치이며, 성은 서씨다. 대대로 '글 서(書)'를 성으로 사용한 책을 읽을 수 있는 유서 깊은 가문의 고양이다. 이 가문의 모든 고양이가 글을 읽을 수 있는 것은 아니고, 한 세대에 한 마리씩만 그 유전자를 받는다고 한다. 꽁치 형제에게는 맏이인 꽁치에게 글 읽는 능력이 전해졌다. 과연 꽁치는 이름대로 공치(共治, 함께 다스림)의 삶을 살아갈 수 있을까. 남다른 재능을 타고난 꽁치를 두고 엄마는 말한다. ""책 읽는 능력이 꼭 좋은 건 아냐. 꽁치는 행운아지만 동시에 불운한 고양이일 수도 있어."" (p.44)엄...+ 더보기",5,2022-07-02
297280718,책 읽는 고양이 서꽁치,13882075,눈과마음,이경혜 작가의 신작동화입니다. 소설도 동화도 영화도 넘쳐나는 세상이다 보니 내가 지금 읽고 있는 이 책의 이야기 설정부터 파악하려고 덤비게 되는 것 같아요. 다행히 <책 읽는 고양이 서공치>를 읽기 시작하고 얼마 지나지 않아 참 재미있게 설정된 이야기라는 것을 알게 되었어요. 마치 인간에게 어떤 특정한 유전자가 전해질 수 있듯이평범한 고양이처럼 보이는데 알고 보니책은 물론 세상의 모든 언어에 능통한 고양이라니!우리의 서꽁치가 할 수 있는 모험의 폭이 가늠되기 시작했어요.&nbs...+ 더보기,5,2022-08-28
297280718,책 읽는 고양이 서꽁치,13743770,ynlove83,책읽는 고양이라니~어떤 고양이가 주인공일지제목부터 관심폭발! 흥미진진! 온몸이 한밤중처럼 새까만데네 발만 흰 양말을 신은 것처럼 하얀 고양이!바로 <책 읽는 고양이 서꽁치>예요!가제본이지만 책 속의 일러스트가 컬러로 그려져있어생생한 상황과 서꽁치의 귀여움을 느낄 수 있었어요!-😻사랑스러운 서꽁치는 어떻게 책을 읽게 되었을까요?글 읽는 능력을 갖게 해 주는 마법의 풀을 먹은서꽁치의 시조할아버지!사람이 만든 글자를 단번에 읽게되는 능력이 생기셨죠.그 뒤로 33대 동안 그 유전자를 한 세대에 한 마리씩한테만 전해 내려왔는데3...+ 더보기,5,2022-07-06
297280718,책 읽는 고양이 서꽁치,17291311,miseong.books,#도서제공 #세계책의날이벤트선물세계 책의 날 이벤트 선물!흑묘도(黑猫島) 검은 고양이 섬그곳에서 태어난 꽁치꽁치잡이 집에서 태어나서꽁치라고 이름 지었나?꽁치는 다섯 형제 중 첫째아기 고양이 다섯은무럭 무럭 자라고 무척이나 시끄러워요.주인 아주머니가시끄럽다고 나가라고 하니엄마 고양이는 다섯 아이들을 이끌고집을 나와버려요.뱀이 나오는 빈 집.주인 아줌마가 몇 번을 데리러 왔지만집으로 돌아가지 않고그냥 빈 집에서 살아요.아이들은 먹을 것이 많은꽁치잡이 주인집에 돌아가고 싶지만엄마는 단호해요.그 집으로는 안가.어느 날 엄마가 아주 충격적인...+ 더보기,5,2026-05-22
297280718,책 읽는 고양이 서꽁치,13728172,redd22,"여기 작은 섬 어부의 집에서 태어난 고양이 '꽁치'꽁치는 엄마와 살던 집을 떠나 그들만의 보금자리를 마련하고 그곳에서 꽁치는 엄마의 이름 '서명월'이라는 이야기를 듣게 되었다.어느날 엄마가 물고온 종이 뭉치에 적힌 글 중에 한 글자 '書' 를 가르키며 읽어 보라고 했는데 꽁치는 자신도 모르게 ""글 서!""라고 대답한다.그렇다 꽁치는 한 세대에 한 마리만 나온다는 글을 읽는 고양이였던것이다.글을 읽는 재미에 빠지고 엄마의 충고에도 불구하고 글을 읽고자하는 갈망으로 위험을 무릎쓰고 항구의 서점까지 가게 되고 그곳에서 <장화 신은 고...+ 더보기",5,2022-07-01
297280718,책 읽는 고양이 서꽁치,13745071,jem7402,"글을 읽는 고양이 33대 서꽁치.글 서(書) 함께할 공(共) 다스릴 치(治).꽁치를 좋아한다.""재능은 무거운 짐과 같아서 꺼내 쓰면 너무나 좋지만짊어지고만 있으면 너무나 괴롭거든...(중략)넌 재능을 행복하게 쓰며 살아라""꽁치의 엄마는 이렇게 말했다.자신은 비록 재능을 숨기고 살아서 괴로웠지만꽁치는 재능을 펼치며 살기를 원했던거 같다.자신의 재능을 숨기지않고 모험을 떠나 가족이나 스스로를 위험에 빠뜨리는 꽁치를 이해하고 받아들여주는 모습이 엿보인다.글을 읽는 재미에 푹 빠져 책을 읽는 모습이나 늙은 쥐에게 책을 읽어주는 대목은 마치...+ 더보기",5,2022-07-07
297280718,책 읽는 고양이 서꽁치,13743195,bookcheck,"Whatever I want!이경혜 지음, 이은경 그림, 『책 읽는 고양이 서꽁치』, (문학과지성사, 2022)​​​욕구는 감당할 수 없는 한계를 넘어섰을 때 존재를 다른 차원의 국면으로 향하게 한다. 나쁜 쪽으로든 좋은 쪽으로든, 욕구를 실천한 대상은 더 큰 것을 바라고야 만다. 기본적인 욕구에 가까울수록 욕구의 힘은 강하기에 사람도, 사람 아닌 모든 것들도 생활에 더 힘쓰는 것일지도 모른다.문학과지성사의 계열사인 문지아이들에서 출간된 『책 읽는 고양이 서꽁치』라는 책은 글을 읽을 줄 아는 고양이가 고양이의 능력을 이용하려는 인간...+ 더보기",5,2022-07-06
297280718,책 읽는 고양이 서꽁치,13728197,Poo,"'어느 날 내가 죽었습니다'의 이경혜 작가님의 동화! -""지금부터 하는 얘기는 우리 집안의 비밀이다. 누구한테도 말해선 안돼. 절대로!""-글 서(書)씨 가문의 특별한 능력! 글을 읽을 수 있는 능력! 책 읽는 고양이!한 세대에 딱 한 마리만 물려받을 수 있는데! 그 선택을 받은 고양이 서꽁치의 좌충우돌 이야기!-장화 신은 고양이, 쥐 둔갑 타령, 보물섬 살짝 나오고!이게 웬 떡이람! 새 발의 피! 식은 죽 먹기!같은 속담도 나와 정말 아이들과 함께 보기 좋다!귀여운 그림들은 보는 재미를 한껏 업업업!!! ...+ 더보기",5,2022-07-01
297280718,책 읽는 고양이 서꽁치,13820474,송아,어느날 내가 죽었습니다랑 너무 달라서 같은 작가가 맞나 어리둥절했네요. 고양이의 습성을 녹아내려서 고양이를 더 잘 알게 해주는 것 같습니다. 영미누나를 보며 사람의 욕심도 알게 되고 하여튼 고양이 헌정 동화 너무 좋아요,4,2022-08-03
297280718,책 읽는 고양이 서꽁치,13762118,parkgowoon,"꽁치는 섬마을에서 엄마, 다섯 동생과 사는 검은 고양이에요. 꽁치에게는 동생들에게는 없는 특별한 능력이 있어요. 바로 글자를 읽을 줄 안다는 것이에요. 그런데 이런 특별한 재능에도 불구하고 좋아하는 책을 마음껏 읽을 수는 없어요. 글을 읽을 줄 안다는 것을 아무에게도 들키면 안 된다는 엄마의 신신당부 때문이에요. 마을의 간판과 마을 사람들의 이름이 모두 적힌 전화번호부, 배들의 이름까지 읽었지만 글자를 더 읽고 싶은 꽁치는 용감하게 모험을 떠나기도 합니다. 배를 타고 시내의 서점에 가기도 하고 주인집 영미 누나의 책장에서 몰래 책을...+ 더보기",5,2022-07-13
111994617,공감 씨는 힘이 세!,9426340,루가녕이,"아들을 키우다 보니 여자인 엄마와 많이 다르구나 라는 걸 요즘 느껴요.아이와 대화를 하기 시작할 무렵, 확실히 느낀건 공감하는 능력이 역시 많이 낮구나 싶었어요.그래서 세상에 안되는 게 어디 있니? 라는 마음으로 아이의 공감 능력을 키우려고 무단히도 애쓴 것 같아요.육아라는 게 애쓴 다고 바로 바로 나타나는 것이 아니라서 사실 내가 이 아이에게 공감이라는 걸 제대로 알려주는 게 맞을까 생각했는데..몇 년이 지난 지금 확실히 저...+ 더보기",5,2017-06-30
111994617,공감 씨는 힘이 세!,9490800,희망나무,"책 읽는 곰에서 출판되는 같이 사는 가치 1권. 공감씨는 힘이세! 입니다.
이 시리즈의 첫 책은 ‘공감’을 주제로 삼고 있습니다.
같이 살아가기 위해 가슴에 품어야 할 가치인 공감에 대해 다루는 책인데요.
같이 사는 세상을 만드는 첫 번째 영웅 공감 씨가 주인공인데요.
어린이들을 공감의 세계로 이끄는 주인공은 민들레 씨앗을 쏙 빼닮은 ‘공감 씨’랍니다.
공감의 씨앗이 널리널리 퍼져 나가 어린이의 마음에 깊이깊이 뿌리 내렸으면 하는 
바람을 담은 캐릭터라고 하네요.
공감 씨는 먼저 어린이의 삶에서 건져 올린 다양한 상황을...+ 더보기",5,2017-07-28
111994617,공감 씨는 힘이 세!,9424545,미니츄,"같이 사는 가치 01[책읽는 곰 - 공감 씨는 힘이 세!]김성은 글 - 살면서 힘든 일이 생길 때마다 나를 다시 일으켜 준 건 '공감'이었어요.혼자 울게 내버려 두지 않고 함께 슬퍼하고 아파해 준 사람들이 늘 곁에 있었거든요.누군가와 마음이 통하고 서로 연결되어 있다는 느낌은 살아가는 데 큰 힘이 되어 준답니다.이런 공감의 씨앗을 널리널리 퍼뜨리고 싶어서 이 책을 썼습니다.그동안 쓴 책으로 <까치와 소담이의 수수께끼 놀이>,<할아버지의 안경>,<우리 땅 노래 그림책>,<우리 모두 이웃이야>...+ 더보기",5,2017-06-29
111994617,공감 씨는 힘이 세!,9417585,소금별_교실책방,"행복해 부끄러워 기뻐 화나 뿌듯해 짜릿해 속상해언제부턴가 아이들의 감정 표현이 한 두 단어로 정해지고 있다. 짜증나 / 좋아 이 두 가지 표현에서 벗어나지 못한다.공감을 위한 첫 번째 시작은 나의 감정과 다른 사람의 감정이 어떤 의미인지 아는 것이다 가까운 사람은 좀 더 공감하기 쉽지만 모르는 사람도 공감할 수 있다는 것. 다른 사람에게 공감을 받았던 기억을 떠올려 보는 활동마음으로 느끼기, 말로 표현하기처럼 아이들과 함께 교실에서 해 볼 수 있는 활동도 함께 제시하고 있다.",5,2017-06-25
