book_id,book_title,review_id,reviewer,review_content,rating,created_at,
386006888,세종의 나라 2 (양장),17181555,글로벌썬,"이 책은 채성모의 손에 잡히는 독서모임에서 제공받아 작성한 리뷰입니다.조선 세종대왕 시대의 또 다른 면모를 깊이 있게 탐구하며, 한글 창제와 나라의 운명을 이끄는 위대한 선택을 생생하게 그려낸 역사소설입니다. 김진명 작가는 세종대왕의 인간적 고뇌와 시대적 어려움을 섬세하게 묘사하면서, 백성을 향한 진정한 사랑과 희생이 어떻게 우리 문화를 세계적으로 빛나게 했는지 감동적으로 보여줍니다.이 책은 단순한 역사적 사실의 나열이 아닌, 권력과 백성, 전쟁과 평화, 문자와 문화가 뒤엉킨 복합적인 시대의 진실을 문학적으로 풀어내 독자에게 깊은 ...+ 더보기",5,2026-03-29,
386006888,세종의 나라 2 (양장),17174743,eunmi4864,"조선이라는 이름의 새 나라에 백성이란 없었다. 백성의 기근도 소를 잃은 통곡도 그들의 논의에 들지 않았다. 오직 자신들의 권세와 체통만을 으뜸으로 추구하는 자 들, 그들이 나라를 움직이고 있었다.p.065""그대들은 경전을 말하나, 나는 백성의 입을 본다. 하늘의 이치가 어찌 글자에만 있겠는가. 소리에도, 눈물에도 있지 않은가.""p.0711권 너무 재미있어서 완전 순삭했는데  2권 기다릴수 없지! 바로 고고~~2권에서는 반화요설에 대해서..윤의겸의 서책에서 발견한 진실들과 세종의 애민정신을 기본으로 한 한글창제에 대한 과정이 나오는데...+ 더보기",5,2026-03-26,
386006888,세종의 나라 2 (양장),17196637,lh0326,"#도서협찬??#세종의나라1 #세종의나라2 #김진명 #이타북스김진명 작가님의 책을 읽다 보면, 무뎌졌던 애국심이 다시금 되살아나는 기분이 든다.처음 읽은 작품은 <무궁화 꽃이 피었습니다>였다. 우리나라 역사에 큰 관심이 없던 나에게, 이 책은 마지막 장을 덮는 순간 감동의 눈물과 함께 독도에 대한 애정을 느끼게 해주었다.이후 읽은 세종의 나라 역시 자랑스럽고 마음이 찌르르해지는 소설이었다. 세종대왕께서 한글을 창제하셨다는 사실은 누구나 알고 있지만, 그 과정을 다시 천천히 따라가다 보니 백성을 향한 사랑이 얼마나 깊었는지 ...+ 더보기",5,2026-04-04,
386006888,세종의 나라 2 (양장),17211263,루카스,"#도서협찬_채손독??세종의 나라2??김진명 장편소설??이타북스??2권은 1권에서 시작된 한글 창제의 긴 여정을 이어, 마침내 '반포'라는 역사적 결실로 그 위대한 마침표를 찍습니다.. ??이 책은 단순히 기록에만 충실한 역사서를 넘어, 글자 뒤에 숨겨진 뜨거운 인간의 마음과 이를 가로막았던 기득권 세력의 완고한 반대를 생생하게 그려내고 있습니다..??소리를 담는 쉬운 문자를 만들기 위해서는 두 가지가 필요하다.하나는 글자를 이루는 요소가 극히 간단해야 한다. 나는 오랜 생각 끝에 가장 좋은 방법은 획 하나로 글자를 만드는 것이라 귀...+ 더보기",5,2026-04-12,
386006888,세종의 나라 2 (양장),17217488,라그나로크,"* 해당 책은 이타북스에서 도서 지원을 받아 서평을 작성하였습니다.  ?  명나라의 조공 요구에 조정의 분위기는 엄숙한 상황에 부닥친다. 심지어 관료들은 백성에게 공물의 양을 받아내지 못한 관찰사들을 처벌하라는 상소를 올리는데, 지난 여러 번 조공품을 바쳤기에 백성들에게 더 이상 조공품이 나올 수가 없는 상황임을 앎에도 세종은 한석리를 지방에 보내 상황을 알아보게 한다. 지방을 사찰하며, 더 이상 조선의 상황이 녹록지 않음을 알게 된 한석리는 무거운 마음을 가지게 되고, 다시 세종에게 보고한다. 이때 하현수는 권숙현을 명나...+ 더보기",5,2026-04-15,
386006888,세종의 나라 2 (양장),17236614,달달이kj,"[#도서제공 ?? ]□""백성이 글을 얻어야 웃음을 얻고 나라도 산다. 백성이 글을 얻어야 풍요를 알고 나라 또한 풍성해진다. 백성이 글을 얻어야 이 나라 조선은 비로소 중국의 그림자에서 벗어나 스스로 생각하는 나라, 스스로 말하는 나라, 스스로 걸어가는 나라가 된다.""  ㅡp160...'스스로'가 필요했던 조선은명나라 황제의 그림자에 눌리고유교의 명분으로 반대하는 신하들그들 속에서 혼자 속앓이 하며만들어낸 마침내의 글자.그것이 훈민정음.지금 내가 쓰고 있는 한글이었다.□ ""살려주시오.""이어진 세종의 목소리가 처절하게 떨렸다.""이 한...+ 더보기",5,2026-04-24,
386006888,세종의 나라 2 (양장),17274435,산머루,"“언년이, 개똥이, 째보... 한글이 없었다면 이 이름들은 쓰일 수조차 없었을 테니, 얼마나 서글픈 조선이었을까.” _하다 생각 [도서협찬]#세종의나라2 #김진명 #이타북스우리는 살면서 너무나 당연하게 여겨 감사함을 잊고 사는 것들이 많습니다. 어머니가 차려주신 따뜻한 밥상, 가족의 건강, 고단한 몸을 쉴 수 있는 집이 그렇습니다. 평소에는 공기처럼 존재를 잊고 지내다가도, 막상 곁을 떠나 불편함을 겪게 되어서야 비로소 그 소중함을 깨닫곤 합니다. 그렇다면 '우리 글'이 있다는 사실에 이토록 깊은 감사함을 느껴본 적은 인생에 몇 번...+ 더보기",5,2026-05-13,
386006888,세종의 나라 2 (양장),17274661,나영,"“임금이란 자리는 지식 많은 자가 아니라 백성을 가장 깊이 사랑하는 자가 앉아야 한다.”?이 문장은 권력의 존재 이유를 명확하게 묻는다. 왕은 왜 존재하는가, 학문은 누구를 향해야 하는가, 문자는 누구를 위해 만들어지는가. 이런 본질적인 질문들이 책 전체를 단단하게 관통하고 있다.?작가가 세종을 그저 뻔하고 평면적인 성군으로만 그려내지 않은 점도 무척 좋았다. 새로운 문자를 만들겠다는 발상은 눈부시게 아름답지만, 기존의 견고한 질서를 뒤흔드는 몹시 위험하고 고독한 일이었을 테니까. 그래서 책 속의 세종은 박제된 위대한 왕이라기보다,...+ 더보기",5,2026-05-13,
386006888,세종의 나라 2 (양장),17273343,민이,"도서제공.'세종의 나라'는 훈민정음 창제 과정을 주로 다루는데, 연구과정과, 그 과정에서 발생한 사건들, 그리고 세종의 고뇌와 정치적인 결정 등이 그려진다.'세종의 나라' 1권에서는 양반가 규수 권숙현와 선비 한석리의 로맨스로 시작하여 시선을 사로잡으며 한글 탄생 배경의 가장 기본이 되는 시초에 대해 풀어낸다. 금부도사 한석리는 세종의 명에 따라, 태종시절 역모로 몰린 윤의겸의 비밀을 추적하여 글자의 뿌리, 근본, 원리, 정체성 등에 대해 생각하게 된다. 이에 세종은 나아가 소리를 글자로 표현하는 방법에 대해 탐구하기 시작한다.'세...+ 더보기",5,2026-05-13,
386006888,세종의 나라 2 (양장),17277186,jang456,"『세종의 나라』 1권이 석리와 숙현의 사랑, 그리고 세종이 품은 뜻을 따라가는 이야기였다면, 『세종의 나라』 2권은 두 사람의 결말과 세종의 선택, 그리고 백성을 향한 결단을 본격적으로 다룹니다. 김진명 작가의 역사소설답게 조선의 혼란과 인물들의 갈등이 촘촘하게 펼쳐지고, 그 중심에서 세종은 온갖 풍파 속에서도 조용히 백성을 위한 길을 걸어갑니다. 수백 년이 지난 지금까지도 빛을 발하는 한글. 그 시작에 담긴 세종의 마음을 느껴 볼 수 있었습니다.?그 마음이 가장 강하게 와닿았던 문장은 바로 이 대목이었습니다.""그대들은 중국의 글만...+ 더보기",5,2026-05-14,
