book_title,review_content,rating
자현 스님의 조금 특별한 불교 이야기,불교를 이해하려면 먼저 불교사를 읽어보는 것이 지름길인 것 같다. 저자의 독특한 목차구성과 혜안 그리고 읽기쉬운 점이 돋보이는 책이다. 불교에 대한 전체적인 개요를 파악하고 경전 하나하나를 읽어나갈 계획이다.강추!,5
자현 스님의 조금 특별한 불교 이야기,다작으로 유명한 자현스님의 이 책은 읽기에 부담없는 분량으로 값도 싸고 간단히 잘 설명되어 있다. 현대인에게 적당한 다양한 비유로 불교를 쉽게 설명하고 있어 불교를 전혀 모르는 초학자나 초신자에게 권할 만 하다. 다만 몇 가지 티를 굳이 말하자면 책 전반에 걸쳐 보수와 진보의 틀로 설명을 한 경우가 많은데 특히 석가모니부처님의 대제자 마하가섭과 아난을 보수와 진보의 대표자로 설명한 부분에서 읽는 이들이 오늘날 우리 한국사회의 대립적이며 심지어 적대하는 보수와 진보로 이해할까봐...+ 더보기,3
생명없는 종교생활에서 벗어나라,종교생활을 해야하는 것이 아니라 복음(예수가 그리스도) 신앙생활을 해야 함을 알았습니다. 감사합니다.,5
생명없는 종교생활에서 벗어나라,"무엇을 벗어나라고 말하려는걸까.. 제목에서 나타나듯 생명이 없는 종교생활은 또 뭘까... 책장을 넘기면서 하나하나 선명하게 발견되어지는 것들, 촛점없이 방황하는 나의 신앙생활에 친절하고 따뜻하게, 그리고 분명하게 하나님의 사랑과 계획을 깨닫게 해준다. 내가 정말로 하나님의 자녀로 선택받고 축복 안에 들어왔구나! 그것을 깨닫는것은 긴 시간이나 어려운 방법이 아니라, 내가 일하고 있는 그 삶의 현장 가운데서 잠시 1분만이라도 하나님의 계획을 보게 해달라고 기도만 하면 되는 거다. 점을 치러 다녀도 해결되지 않던...+ 더보기",5
생명없는 종교생활에서 벗어나라,'생명없는 종교생활에서 벗어나라'이 책을 친구의 선물을 받았는데 첫 느낌에 생명이라는 단어와 종교라는 단어가 끌려서 읽게 되었습니다. 읽고나서 참 많이 회개 하였는데 그것은 난 참 생명에 대한 감각이 없었구나와 시간이 흐를 수록 종교생활에 나도 모르게 찌들려서 기도응답이니 전도니 이런 것들이 나와는 전혀 상관이 없는 모습으로 살고 있었음을 알게 되었습니다. 오랜 종교생활에서 나를 끌어 내어준 책 이책을 많은 사람들이 읽었으면 좋겠다는 생각을 합니다.,5
생명없는 종교생활에서 벗어나라,여러가지 갈등이 있을 때마다 다시 읽게되는 책이다. 나의 신앙생활의 좋은 동반자인 책이다. 신앙생활을 하면서 풀리지 않는 여러가지들을 부딪칠때마다 가장 성경적이고 복음적인 답을 찾게 하신 책이다. 이 책을 만나게 하신 주님께 감사와 영광을 ... 신앙생활을 하면 할수록 기초.기본이 가장 중요하다는 생각을 하게된다. 이 책은 기초와 기본에서 시작하여 가장 최고 최상의 신앙생활을 인도해 주는 것이라 생각한다. 감사하다.,5
생명없는 종교생활에서 벗어나라,잘은 모르겠지만 성경에 대해서 잘 설명이 되어있어서 좋네요. 보통 기독교 책이라고 해도 거의 세상얘기만 하고 세상 방법대로 하고....이책은 좀 어려운거 같기도 한데...깊은 생각을 하게끔 만드는 그런 책이네요.. 좀 생각하시면서 고민하시면서 신앙생활 하시는 분들에게 추천합니다. 재미로 보기에는 좀 그럴수도 있구요^^,3
생명없는 종교생활에서 벗어나라,신앙생활이 또 하나의 인생이 짐이 되시는 분들께 이 책을 추천합니다. 제 신앙을 돌아보게 되고 진정한 신앙생활이 무엇인지 그리도 성도의 축복이 얼마나 크고 비밀한 것인지 깨닫게 해주는 참 소중한 책 이었습니다.,5
생명없는 종교생활에서 벗어나라,"모태신앙으로 자라나 그리스도인이라고는 불려졌지만 나의 삶 속에서 기도응답이 되어지지 않고 전도가 가장 어렵다고 느낄때.... 종교생활과 신앙생활의 차이도 모르고 살고 있을때... 목사님의 메시지와 책을 통해서 구원의 확신과 함께 기도, 전도가 되어지는 참 행복한 응답을 받았습니다. 이 책의 내용은 특별한 초대_영접, 영원한 생명_구원, 하나님이 주신 힘_권세, 하나님과 통하는 열쇠_기도, 영혼을 향한 애절함_전도, 누림이 있는 인생_삶과 전도’로 인생이 직면한 만 가지 문제의...+ 더보기",5
생명없는 종교생활에서 벗어나라,"복음이 너무 소중하기에 다른 것과 바꿀 수 없다는 것을 알게 되었고, 이 복음이 나를 통해서 다른 사람에게 전달될 때 또한 너무 소중한 복음이 된다는 사실을 알게 되었어요. 지금도 복음이 없이 살 수 있다는 사람들에게 꼭 필요한 책으로 추천을 하고 싶네요 그리고 한국 교회가 세상에 조롱거리가 되고 있는 이 시대에 조롱하는 그 사람들에게 보내는 주님의 희망 메시지라고 생각이 됩니다. 부디 복음을 몰라 열심히 봉사 헌신하고 있는 분들이 일고 깨달았으면 좋겠어요",5
생명없는 종교생활에서 벗어나라,우연히 친구의 소개로 읽은 책인데 이 책을 읽고나서 많은 신앙의 오해들을 풀게 되었다. 세상에서 가장 어려운게 전도인줄 알았는데 이 책을 읽고서는 가장 쉬운 것이 전도임을 알게 되었다.종교생활에서만 빠져 나오면 전도는 가만히 있어도 된다니..참 첨 듣는 말이지만 충격이 되는 말이고 또 믿음의 확신을 가지게 된다. 이제는 전도라는 날개를 달고 날아 다니면서 복음을 전할 전도자로 쓰임받을 모습을 그려본다.,5
생명없는 종교생활에서 벗어나라,그동안 왜 내가 갈등하고 살았는지 알것같다.. 너무 힘들게 방황하고.. 교회만 열심히 다니면 되는 줄 알았는데.. 정말 이책을 읽으면서 그런 문제에서 해방되는 듯한.. 너무 감사하다..,5
